ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
6534,9,E07000084,1,57.21,184.37,25.84,200.32
6860,9,E07000084,2,71.06,226.84,25.84,248.03
7186,9,E07000084,3,81.2,261.31,25.84,285.19
7512,9,E07000084,4,89.52,421.8,25.84,460.26
7838,10,E07000084,0,62.17,1071.07,18.64,1167.89
15,1,E07000171,1,51.68,99.75,25.84,122.03
341,1,E07000171,2,61.83,114.6,25.84,129.46
667,1,E07000171,3,68.28,126.28,25.84,137.95
993,1,E07000171,4,75.67,158.1,25.84,166.61
2623,2,E07000171,0,51.82,240.72,18.64,361.1
1319,3,E07000171,1,46.13,90.21,25.84,107.19
1645,3,E07000171,2,52.6,96.56,25.84,108.24
1971,3,E07000171,3,58.13,104,25.84,118.85
2297,3,E07000171,4,63.67,122.03,25.84,122.03
2949,4,E07000171,0,49.74,114.39,18.64,123.94
4313,5,E07000171,1,51.68,84.89,25.84,92.33
5009,5,E07000171,2,61.83,105.06,25.84,114.6
5652,5,E07000171,3,68.28,125.22,25.84,136.89
6227,5,E07000171,4,75.67,180.4,25.84,197.39
3275,6,E07000171,0,51.82,202.58,18.64,221.66
4413,7,E07000171,1,46.13,84.89,25.84,92.33
5149,7,E07000171,2,52.6,105.06,25.84,114.6
5810,7,E07000171,3,58.13,125.22,25.84,136.89
6471,7,E07000171,4,63.67,180.4,25.84,197.39
3601,8,E07000171,0,49.74,202.58,18.64,221.66
6535,9,E07000171,1,51.68,106.13,25.84,115.39
6861,9,E07000171,2,61.83,131.32,25.84,143.25
7187,9,E07000171,3,68.28,156.51,25.84,171.11
7513,9,E07000171,4,75.67,225.52,25.84,246.73
7839,10,E07000171,0,51.82,591.38,18.64,645.02
16,1,E06000022,1,48.92,107.19,25.84,140.08
342,1,E06000022,2,55.37,120.97,25.84,144.31
668,1,E06000022,3,61.83,141.13,25.84,161.3
994,1,E06000022,4,71.06,158.1,25.84,194.19
2624,2,E06000022,0,54.93,231.2,18.64,358.7
1320,3,E06000022,1,47.06,89.13,25.84,210.12
1646,3,E06000022,2,54.44,100.81,25.84,111.41
1972,3,E06000022,3,61.83,109.29,25.84,126.28
2298,3,E06000022,4,73.82,130.52,25.84,130.52
2950,4,E06000022,0,54.93,115.59,18.64,141.81
4197,5,E06000022,1,48.92,153.86,25.84,167.67
4833,5,E06000022,2,55.37,192.07,25.84,210.12
5464,5,E06000022,3,61.83,232.39,25.84,252.55
6002,5,E06000022,4,71.06,388.39,25.84,423.41
3276,6,E06000022,0,54.93,436.17,18.64,475.49
3913,7,E06000022,1,47.06,153.86,25.84,167.67
5110,7,E06000022,2,54.44,192.07,25.84,210.12
5690,7,E06000022,3,61.83,232.39,25.84,252.55
6402,7,E06000022,4,73.82,388.39,25.84,423.41
3602,8,E06000022,0,54.93,436.17,18.64,475.49
6536,9,E06000022,1,48.92,192.33,25.84,209.57
6862,9,E06000022,2,55.37,240.08,25.84,262.64
7188,9,E06000022,3,61.83,290.5,25.84,315.69
7514,9,E06000022,4,71.06,485.5,25.84,529.26
7840,10,E06000022,0,54.93,411.13,18.64,448.39
17,1,E06000055,1,54.44,118.85,25.84,148.56
343,1,E06000055,2,64.59,142.18,25.84,167.67
669,1,E06000055,3,71.06,155.98,25.84,180.4
995,1,E06000055,4,81.2,170.85,25.84,178.28
2625,2,E06000055,0,36.26,226.42,18.64,423.05
1321,3,E06000055,1,49.84,99.75,25.84,131.58
1647,3,E06000055,2,58.13,117.78,25.84,132.64
1973,3,E06000055,3,63.67,130.52,25.84,143.25
2299,3,E06000055,4,71.06,148.56,25.84,159.17
2951,4,E06000055,0,55.97,135.86,18.64,318.19
4119,5,E06000055,1,54.44,113.53,25.84,123.09
4700,5,E06000055,2,64.59,142.18,25.84,154.93
5419,5,E06000055,3,71.06,170.85,25.84,185.7
6129,5,E06000055,4,81.2,281.2,25.84,306.68
3277,6,E06000055,0,36.26,315.82,18.64,344.4
4236,7,E06000055,1,49.84,113.53,25.84,123.09
4962,7,E06000055,2,58.13,142.18,25.84,154.93
5605,7,E06000055,3,63.67,170.85,25.84,185.7
6267,7,E06000055,4,71.06,281.2,25.84,306.68
3603,8,E06000055,0,55.97,315.82,18.64,344.4
6537,9,E06000055,1,54.44,141.94,25.84,153.86
6863,9,E06000055,2,64.59,177.73,25.84,193.64
7189,9,E06000055,3,71.06,213.57,25.84,232.15
7515,9,E06000055,4,81.2,351.51,25.84,383.34
7841,10,E06000055,0,36.26,254.72,18.64,278.57
18,1,E09000004,1,65.51,145.37,25.84,197.39
344,1,E09000004,2,77.51,157.04,25.84,192.07
670,1,E09000004,3,83.97,166.61,25.84,226.01
996,1,E09000004,4,101.48,186.77,25.84,251.49
2626,2,E09000004,0,70.47,317,18.64,502.91
1322,3,E09000004,1,58.13,118.85,25.84,146.43
1648,3,E09000004,2,63.67,139.02,25.84,175.09
1974,3,E09000004,3,71.06,159.17,25.84,200.55
2300,3,E09000004,4,83.05,259.98,25.84,261.04
2952,4,E09000004,0,60.1,371.82,18.64,402.8
3952,5,E09000004,1,65.51,157.04,25.84,172.97
4567,5,E09000004,2,77.51,192.07,25.84,210.12
5219,5,E09000004,3,83.97,248.31,25.84,270.61
5904,5,E09000004,4,101.48,337.44,25.84,368.22
3278,6,E09000004,0,70.47,378.95,18.64,413.53
4166,7,E09000004,1,58.13,157.04,25.84,172.97
4667,7,E09000004,2,63.67,192.07,25.84,210.12
5319,7,E09000004,3,71.06,248.31,25.84,270.61
5871,7,E09000004,4,83.05,337.44,25.84,368.22
3604,8,E09000004,0,60.1,378.95,18.64,413.53
